word,frequency,rank
"tal",17443,1160
"sandheden",17368,1161
"hodet",17358,1162
"ray",17327,1163
"funnet",17307,1164
"kroppen",17291,1165
"passe",17285,1166
"kommit",17284,1167
"begynder",17249,1168
"jesus",17227,1169
"ringde",17198,1170
"området",17165,1171
"fart",17143,1172
"mark",17128,1173
"vanskelig",17126,1174
"vann",17114,1175
"fyra",17083,1176
"sendt",17073,1177
"kvinder",17047,1178
"galen",17006,1179
"onkel",16991,1180
"rom",16935,1181
"begynner",16901,1182
"bob",16876,1183
"driver",16863,1184
"lavede",16862,1185
"dyr",16826,1186
"syns",16809,1187
"respekt",16799,1188
"absolut",16798,1189
"fader",16734,1190
"leva",16728,1191
"syster",16723,1192
"vapen",16679,1193
"tide",16677,1194
"skide",16638,1195
"piger",16631,1196
"oroa",16618,1197
"ringede",16613,1198
"besked",16598,1199
"skull",16572,1200
"mangler",16533,1201
"gifte",16533,1202
"tenker",16500,1203
"fuld",16488,1204
"utrolig",16484,1205
"tusen",16477,1206
"alligevel",16466,1207
"rent",16457,1208
"egne",16452,1209
"hent",16444,1210
"stället",16380,1211
"kontoret",16354,1212
"værsgo",16337,1213
"festen",16298,1214
"blå",16288,1215
"tagit",16288,1216
"gal",16282,1217
"menneske",16262,1218
"jul",16257,1219
"vadå",16257,1220
"slippe",16256,1221
"vand",16255,1222
"gravid",16243,1223
"jobba",16238,1224
"drenge",16236,1225
"sätta",16222,1226
"ryggen",16216,1227
"bar",16193,1228
"tingene",16140,1229
"berättade",16130,1230
"tænkt",16112,1231
"ganska",16088,1232
"født",16085,1233
"följer",16037,1234
"klockan",16034,1235
"tommy",16012,1236
"tidigare",16011,1237
"farlig",16005,1238
"hittat",15972,1239
"rigtige",15953,1240
"nær",15948,1241
"följa",15944,1242
"räcker",15942,1243
"fars",15941,1244
"ende",15933,1245
"ren",15913,1246
"prøvede",15875,1247
"gangen",15863,1248
"lätt",15862,1249
"præcis",15858,1250
"fortell",15855,1251
"försöka",15828,1252
"læg",15818,1253
"føle",15788,1254
"paris",15741,1255
"flytte",15733,1256
"vare",15715,1257
"miste",15691,1258
"mi",15627,1259
"lång",15609,1260
"glemt",15602,1261
"forkert",15576,1262
"hårdt",15565,1263
"slåss",15555,1264
"fedt",15548,1265
"lovar",15486,1266
"lyver",15452,1267
"smuk",15451,1268
"lagt",15445,1269
"kaptajn",15432,1270
"london",15416,1271
"lys",15412,1272
"förut",15407,1273
"dame",15403,1274
"prøvde",15400,1275
"tenke",15374,1276
"forældre",15364,1277
"filmen",15347,1278
"skylder",15344,1279
"dan",15334,1280
"sætte",15317,1281
"sist",15263,1282
"mister",15257,1283
"muligt",15227,1284
"självklart",15222,1285
"kærlighed",15202,1286
"bruke",15175,1287
"skolan",15172,1288
"iväg",15170,1289
"ventet",15169,1290
"rør",15167,1291
"slipp",15161,1292
"uansett",15145,1293
"elske",15136,1294
"sag",15128,1295
"letar",15119,1296
"billy",15095,1297
"ikväll",15086,1298
"richard",15070,1299
"lærer",15063,1300
"flera",15059,1301
"pistolen",15038,1302
"försök",15037,1303
"spør",15031,1304
"glemte",15008,1305
