word,frequency,rank
"slutten",3354,1063
"bekymre",3350,1064
"greia",3345,1065
"klær",3345,1066
"tii",3343,1067
"tegn",3334,1068
"hunden",3321,1069
"trist",3319,1070
"henry",3311,1071
"gave",3310,1072
"trygt",3305,1073
"ungene",3302,1074
"prater",3300,1075
"fange",3300,1076
"forferdelig",3292,1077
"minst",3290,1078
"martin",3288,1079
"sarah",3285,1080
"jesus",3284,1081
"makt",3280,1082
"gravid",3279,1083
"båten",3276,1084
"danse",3269,1085
"steve",3263,1086
"ekstra",3262,1087
"ansvar",3262,1088
"spilte",3250,1089
"håpet",3243,1090
"stemme",3243,1091
"fikse",3241,1092
"fullt",3222,1093
"kvitt",3220,1094
"innom",3219,1095
"faller",3217,1096
"hundre",3216,1097
"meget",3214,1098
"politi",3212,1099
"flytt",3208,1100
"lunsj",3207,1101
"stol",3207,1102
"våpenet",3190,1103
"såret",3189,1104
"lest",3187,1105
"tjene",3185,1106
"hjernen",3169,1107
"skogen",3168,1108
"musikk",3166,1109
"svare",3166,1110
"lurt",3159,1111
"poenget",3157,1112
"frisk",3156,1113
"jul",3152,1114
"krever",3149,1115
"sikkerhet",3148,1116
"drap",3145,1117
"vakre",3145,1118
"sjekker",3143,1119
"dårlige",3141,1120
"bestemt",3133,1121
"herlig",3129,1122
"bordet",3127,1123
"thomas",3124,1124
"skip",3109,1125
"jævlig",3107,1126
"dele",3104,1127
"bok",3101,1128
"konge",3099,1129
"nummeret",3090,1130
"jake",3088,1131
"tommy",3087,1132
"max",3087,1133
"nødvendig",3083,1134
"fører",3078,1135
"glipp",3077,1136
"likt",3073,1137
"blå",3067,1138
"minner",3066,1139
"taket",3064,1140
"sverger",3064,1141
"lete",3064,1142
"starte",3061,1143
"vennligst",3060,1144
"leke",3058,1145
"tilhører",3050,1146
"jimmy",3044,1147
"dypt",3041,1148
"leser",3040,1149
"trøbbel",3039,1150
"paris",3038,1151
"nervøs",3031,1152
"begynt",3029,1153
"nøyaktig",3027,1154
"karer",3027,1155
"drøm",3024,1156
"bakken",3022,1157
"starter",3021,1158
"mangler",3021,1159
"altfor",3019,1160
"bry",3018,1161
"trenge",3010,1162
"selskap",3007,1163
"høyere",3004,1164
"truffet",2994,1165
"knapt",2993,1166
"glemmer",2992,1167
"forresten",2986,1168
"sånne",2979,1169
"startet",2964,1170
"spiste",2960,1171
"hopp",2958,1172
"spist",2957,1173
"kirken",2954,1174
"bytte",2953,1175
"stoppet",2938,1176
"liket",2937,1177
"trekke",2935,1178
"håp",2933,1179
"endre",2933,1180
"hemmelig",2929,1181
"will",2928,1182
"tony",2925,1183
"sikre",2920,1184
"møttes",2918,1185
"folkene",2912,1186
"overleve",2905,1187
"situasjonen",2904,1188
"ordet",2902,1189
"seriøst",2898,1190
"omtrent",2895,1191
"bodde",2894,1192
"inni",2892,1193
"folket",2891,1194
"hel",2889,1195
"stand",2886,1196
"målet",2882,1197
"ifølge",2877,1198
"mark",2877,1199
"hvit",2873,1200
"bevise",2870,1201
"velger",2859,1202
"dommer",2853,1203
"vinduet",2850,1204
"leiligheten",2840,1205
"bank",2835,1206
"gleder",2834,1207
"taper",2832,1208
"kast",2827,1209
"lngen",2827,1210
"glass",2827,1211
"grunnen",2825,1212
"bestemor",2823,1213
"stopper",2823,1214
"løytnant",2822,1215
"unngå",2821,1216
"lovet",2817,1217
"kyss",2814,1218
"forlater",2812,1219
"oppdaget",2809,1220
"blåser",2808,1221
"dessuten",2807,1222
"nøkkelen",2807,1223
"overraskelse",2806,1224
"fikser",2806,1225
"typen",2803,1226
"bygge",2802,1227
"leste",2802,1228
"brev",2801,1229
"tull",2799,1230
"nekter",2798,1231
"dratt",2796,1232
"greie",2795,1233
"menneskene",2794,1234
"ansikt",2794,1235
"type",2794,1236
"stjele",2793,1237
"våkne",2793,1238
"følelser",2792,1239
"løpe",2791,1240
"bestemmer",2791,1241
"mulighet",2790,1242
"te",2786,1243
"låne",2786,1244
"elskling",2779,1245
"eldre",2774,1246
"robert",2766,1247
"sees",2765,1248
"kalles",2764,1249
"iallfall",2763,1250
"fornøyd",2761,1251
"frokost",2761,1252
"sexy",2755,1253
"guttene",2751,1254
"loven",2750,1255
"gratis",2744,1256
"ren",2742,1257
"hår",2737,1258
"engelsk",2737,1259
"fars",2735,1260
"beholde",2730,1261
"kontor",2727,1262
"maria",2727,1263
"inntil",2725,1264
"drømmer",2718,1265
"bar",2713,1266
"arrestert",2713,1267
"klærne",2709,1268
"spesiell",2709,1269
"pistol",2702,1270
"tilfelle",2700,1271
"kall",2697,1272
"vin",2696,1273
"chris",2693,1274
"km",2692,1275
"blodet",2689,1276
"lette",2676,1277
"stjålet",2676,1278
"beina",2670,1279
"avtalen",2670,1280
"toget",2662,1281
"varmt",2661,1282
"sakene",2661,1283
"derfra",2659,1284
"slag",2659,1285
"vakt",2658,1286
"spennende",2655,1287
"fulgte",2653,1288
"morsom",2647,1289
"deilig",2647,1290
"stykker",2645,1291
"walter",2641,1292
"le",2639,1293
"overrasket",2636,1294
"kjenne",2636,1295
"stadig",2631,1296
"date",2631,1297
"lure",2630,1298
"varm",2630,1299
"red",2621,1300
"sang",2620,1301
"koster",2619,1302
"mora",2619,1303
"trekker",2619,1304
"giftet",2616,1305
"gata",2612,1306
"flaks",2610,1307
"fryktelig",2609,1308
"forandre",2608,1309
"henger",2608,1310
"synge",2605,1311
"gutta",2602,1312
"angrepet",2601,1313
"foreldre",2599,1314
"ende",2596,1315
"hull",2595,1316
"spis",2591,1317
"fy",2589,1318
"nåde",2587,1319
"claire",2585,1320
"begynnelsen",2585,1321
"takket",2583,1322
"hvile",2580,1323
"is",2580,1324
"sersjant",2574,1325
"sann",2570,1326
"kjøpt",2568,1327
"amerikanske",2565,1328
"eddie",2564,1329
"løse",2561,1330
"richard",2561,1331
"tale",2559,1332
"svaret",2558,1333
"oppdrag",2557,1334
"reglene",2556,1335
"uskyldig",2556,1336
"sørge",2549,1337
"funker",2548,1338
"røde",2548,1339
"skyldig",2546,1340
"vitne",2545,1341
"vilje",2544,1342
"svarer",2543,1343
"sprøtt",2542,1344
"flytter",2539,1345
"professor",2537,1346
"unger",2536,1347
"natta",2535,1348
"soldater",2533,1349
"gull",2532,1350
"valgt",2531,1351
"sen",2530,1352
"herren",2529,1353
"føre",2526,1354
"armen",2523,1355
"kaldt",2523,1356
"slett",2520,1357
"tida",2517,1358
"of",2517,1359
"amerika",2515,1360
"flyr",2513,1361
"betjent",2509,1362
"kamerat",2503,1363
"treffer",2502,1364
"kalt",2501,1365
"start",2500,1366
"gulvet",2497,1367
"skape",2495,1368
"karen",2494,1369
"brenner",2493,1370
"scott",2489,1371
"våpnene",2489,1372
"eksempel",2483,1373
"charles",2481,1374
"forsøk",2478,1375
"boken",2474,1376
"gale",2474,1377
"direkte",2472,1378
"anna",2470,1379
"løper",2470,1380
"enhver",2466,1381
"stein",2465,1382
"ulykke",2462,1383
"toppen",2459,1384
"hotellet",2454,1385
"frykt",2451,1386
"kjøkkenet",2449,1387
"enige",2446,1388
"kødder",2445,1389
"forsvinner",2444,1390
"halsen",2440,1391
"hesten",2439,1392
"major",2437,1393
"city",2436,1394
"ifra",2433,1395
"bobby",2429,1396
"rent",2428,1397
"stengt",2419,1398
"ender",2419,1399
"oppfattet",2418,1400
"minutt",2418,1401
"reis",2416,1402
"morder",2415,1403
"hest",2408,1404
"styrke",2399,1405
