word,frequency,rank
"ställer",7518,1041
"börjat",7515,1042
"vann",7512,1043
"intresserad",7510,1044
"nick",7502,1045
"jimmy",7501,1046
"väntade",7500,1047
"köper",7488,1048
"pojkar",7486,1049
"dumt",7460,1050
"sarah",7429,1051
"ordnar",7428,1052
"fröken",7424,1053
"framtiden",7395,1054
"ray",7391,1055
"make",7378,1056
"säljer",7367,1057
"försvinn",7364,1058
"pojkvän",7360,1059
"snyggt",7355,1060
"minut",7309,1061
"flickor",7291,1062
"vackra",7284,1063
"dåliga",7282,1064
"spår",7281,1065
"stör",7264,1066
"tittade",7259,1067
"hänger",7256,1068
"ingenstans",7255,1069
"dela",7250,1070
"närheten",7250,1071
"bevisa",7246,1072
"ljus",7228,1073
"hinner",7218,1074
"nyss",7218,1075
"paris",7213,1076
"luktar",7201,1077
"släpper",7200,1078
"närmare",7195,1079
"svär",7193,1080
"chansen",7190,1081
"förstått",7189,1082
"velat",7189,1083
"vanligt",7185,1084
"drink",7180,1085
"tony",7167,1086
"sängen",7163,1087
"bob",7152,1088
"brev",7147,1089
"detsamma",7145,1090
"gissa",7144,1091
"någonstans",7128,1092
"talas",7122,1093
"väntat",7105,1094
"boken",7101,1095
"bill",7087,1096
"arbeta",7078,1097
"dumma",7075,1098
"pistol",7069,1099
"ansiktet",7048,1100
"ringt",7042,1101
"röst",7037,1102
"akta",7017,1103
"säkra",6978,1104
"månad",6974,1105
"ombord",6965,1106
"läst",6958,1107
"själ",6952,1108
"tommy",6946,1109
"välkomna",6940,1110
"marken",6931,1111
"lägenhet",6928,1112
"försiktigt",6925,1113
"stackars",6922,1114
"grejer",6921,1115
"mary",6913,1116
"bilder",6908,1117
"kontroll",6893,1118
"dessutom",6883,1119
"underbar",6882,1120
"läser",6870,1121
"telefonen",6869,1122
"utmärkt",6869,1123
"svarar",6866,1124
"presidenten",6852,1125
"uppskattar",6851,1126
"extra",6848,1127
"gilla",6837,1128
"skadad",6812,1129
"tanke",6806,1130
"bygga",6803,1131
"dött",6803,1132
"planen",6799,1133
"lämnat",6790,1134
"bestämmer",6779,1135
"partner",6743,1136
"sorts",6742,1137
"sådan",6732,1138
"gode",6732,1139
"doktor",6732,1140
"liksom",6718,1141
"flyga",6702,1142
"utom",6687,1143
"sällskap",6682,1144
"läste",6671,1145
"verkade",6665,1146
"förresten",6655,1147
"tusen",6654,1148
"minst",6653,1149
"london",6652,1150
"unge",6649,1151
"rena",6634,1152
"tal",6602,1153
"olycka",6599,1154
"stack",6598,1155
"platsen",6596,1156
"danny",6589,1157
"festen",6586,1158
"inser",6575,1159
"kunnat",6573,1160
"skitsnack",6560,1161
"offer",6559,1162
"skepp",6553,1163
"lyckades",6549,1164
"glömmer",6534,1165
"krävs",6525,1166
"halv",6515,1167
"låna",6497,1168
"framåt",6493,1169
"grabbar",6488,1170
"tillstånd",6482,1171
"van",6467,1172
"respekt",6459,1173
"lista",6445,1174
"vapnet",6426,1175
"ren",6417,1176
"hopp",6405,1177
"nervös",6394,1178
"skapa",6393,1179
"richard",6391,1180
"kyrkan",6380,1181
"leka",6361,1182
"prova",6353,1183
"följde",6353,1184
"team",6342,1185
"folket",6341,1186
"ställ",6320,1187
"historien",6315,1188
"varken",6285,1189
"billy",6274,1190
"bredvid",6269,1191
"jake",6266,1192
"martin",6266,1193
"jul",6262,1194
"bodde",6261,1195
"tecken",6257,1196
"genast",6246,1197
"förstod",6243,1198
"försvinner",6233,1199
"gravid",6224,1200
"insåg",6221,1201
"makt",6213,1202
"räkna",6210,1203
"skäl",6201,1204
"skeppet",6198,1205
"hemlighet",6190,1206
"behålla",6184,1207
"passa",6178,1208
"mördaren",6174,1209
"båten",6174,1210
"sade",6171,1211
"framtid",6167,1212
"lag",6166,1213
"oavsett",6132,1214
"talade",6130,1215
"killarna",6128,1216
"kräver",6127,1217
"varann",6119,1218
"värd",6119,1219
"ryggen",6117,1220
"massor",6112,1221
"jämt",6108,1222
"säng",6093,1223
"kraft",6090,1224
"bjuda",6086,1225
"väljer",6083,1226
"föll",6079,1227
"avsluta",6079,1228
"havet",6077,1229
"innebär",6066,1230
"bära",6051,1231
"ej",6044,1232
"chris",6044,1233
"stilla",6042,1234
"tjäna",6041,1235
"beror",6001,1236
"tråkigt",5994,1237
"kostar",5986,1238
"himlen",5982,1239
"förmodligen",5979,1240
"viktig",5973,1241
"maten",5954,1242
"högre",5950,1243
"te",5948,1244
"solen",5942,1245
"clark",5937,1246
"hjälte",5933,1247
"lyckas",5932,1248
"antingen",5931,1249
"besök",5930,1250
"djupt",5920,1251
"vit",5915,1252
"förstör",5910,1253
"vågar",5902,1254
"bit",5899,1255
"hamnar",5883,1256
"tankar",5880,1257
"upprörd",5877,1258
"grupp",5872,1259
"lik",5864,1260
"vanliga",5855,1261
"morgonen",5843,1262
"thomas",5838,1263
"engelska",5831,1264
"nyckeln",5827,1265
"förstås",5822,1266
"ansvar",5820,1267
"band",5819,1268
"vin",5817,1269
"ljuga",5811,1270
"meningen",5806,1271
"slappna",5805,1272
"bröt",5797,1273
"ordet",5792,1274
"ar",5790,1275
"företag",5789,1276
"beredd",5779,1277
"mordet",5778,1278
"jäveln",5765,1279
"missade",5753,1280
"flyttar",5752,1281
"steve",5750,1282
"fånga",5743,1283
"ms",5732,1284
"pistolen",5728,1285
"röda",5724,1286
"endast",5712,1287
"lova",5712,1288
"per",5712,1289
"johnny",5706,1290
"sprang",5699,1291
"blå",5695,1292
"taget",5693,1293
"fatta",5687,1294
"flyttade",5687,1295
"normalt",5671,1296
"tackar",5664,1297
"baby",5659,1298
"anna",5643,1299
"laga",5638,1300
"kontoret",5637,1301
"daniel",5635,1302
"kungen",5629,1303
"skämtar",5627,1304
"bjuder",5626,1305
"vänd",5616,1306
"luften",5608,1307
"frukost",5601,1308
"jane",5599,1309
"planer",5597,1310
"knulla",5597,1311
"monster",5594,1312
"tolv",5592,1313
"leda",5585,1314
"hälften",5578,1315
"poäng",5574,1316
"starta",5571,1317
"gömma",5565,1318
"galet",5559,1319
"hjärna",5550,1320
"varmt",5540,1321
"målet",5540,1322
"stänga",5527,1323
"golvet",5515,1324
"ljuset",5512,1325
"bordet",5508,1326
"dar",5504,1327
"helvetet",5473,1328
"ledare",5461,1329
"galna",5456,1330
"smärta",5451,1331
"minnas",5449,1332
"nöjd",5441,1333
"rent",5440,1334
"lagt",5437,1335
"nåd",5437,1336
"hejsan",5434,1337
"eddie",5429,1338
"backa",5429,1339
"kändes",5423,1340
"springa",5422,1341
"tjänar",5422,1342
"skrivit",5421,1343
"spännande",5417,1344
"tanken",5407,1345
"gratis",5406,1346
"wow",5402,1347
"definitivt",5399,1348
"bobby",5399,1349
"båt",5396,1350
"träffades",5388,1351
"föddes",5388,1352
"papper",5385,1353
"ordning",5381,1354
"kämpa",5381,1355
"lagen",5375,1356
"skillnad",5373,1357
"sjukhus",5373,1358
"bryta",5373,1359
