word,frequency,rank
"varmt",4682,1265
"støtte",4678,1266
"meningen",4672,1267
"sten",4664,1268
"hyggeligt",4664,1269
"savnet",4660,1270
"derefter",4660,1271
"vigtig",4657,1272
"forsvinder",4655,1273
"steve",4653,1274
"gælder",4651,1275
"styre",4647,1276
"låne",4637,1277
"deroppe",4637,1278
"fyret",4630,1279
"startede",4625,1280
"chris",4625,1281
"skibet",4617,1282
"mærkeligt",4613,1283
"fisk",4612,1284
"område",4607,1285
"bestemmer",4602,1286
"bortset",4593,1287
"kald",4593,1288
"overraskelse",4590,1289
"ramte",4584,1290
"lytte",4584,1291
"flyver",4579,1292
"fjerne",4575,1293
"fødselsdag",4569,1294
"jake",4568,1295
"solen",4562,1296
"love",4560,1297
"kongen",4559,1298
"hemmelighed",4557,1299
"spændende",4555,1300
"hest",4552,1301
"will",4549,1302
"stjålet",4547,1303
"styrke",4546,1304
"fængslet",4543,1305
"hænger",4540,1306
"forestille",4539,1307
"spillede",4537,1308
"bære",4535,1309
"kørt",4531,1310
"pigerne",4529,1311
"bringer",4528,1312
"udmærket",4524,1313
"sørge",4524,1314
"walter",4523,1315
"smutter",4519,1316
"te",4518,1317
"vend",4516,1318
"hær",4515,1319
"thomas",4513,1320
"skridt",4512,1321
"brænder",4506,1322
"of",4501,1323
"fed",4495,1324
"fanger",4494,1325
"hotel",4491,1326
"vin",4490,1327
"virke",4489,1328
"situation",4474,1329
"stikker",4473,1330
"sørg",4473,1331
"derind",4466,1332
"løjtnant",4466,1333
"lugter",4463,1334
"glip",4456,1335
"forsøg",4453,1336
"koster",4451,1337
"jord",4451,1338
"boede",4449,1339
"amerikanske",4446,1340
"eddie",4443,1341
"liget",4441,1342
"johnny",4439,1343
"gemmer",4435,1344
"forbindelse",4425,1345
"tilhører",4425,1346
"vegne",4423,1347
"bordet",4421,1348
"kælling",4407,1349
"opkald",4403,1350
"daniel",4398,1351
"munden",4395,1352
"kontoret",4394,1353
"start",4389,1354
"bedt",4387,1355
"svare",4384,1356
"kate",4383,1357
"sindssyg",4382,1358
"selskab",4381,1359
"bryde",4362,1360
"glade",4354,1361
"vidne",4353,1362
"erne",4335,1363
"kraft",4335,1364
"regler",4326,1365
"uheld",4324,1366
"halvt",4322,1367
"synge",4309,1368
"båd",4307,1369
"forsvundet",4307,1370
"bogen",4305,1371
"nøglen",4301,1372
"knap",4294,1373
